排名,代號,名稱,成交,漲跌價,漲跌幅,面值(元),股本(億),發行量(萬張),市值(億),成立年數,掛牌年數,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
287,6257,矽格,48.2,-0.05,-0.1,10,45.7,45.27,218,34,19.3,有,,,有,,,半導體業,黃興陽,葉燦鍊
288,00637L,元大滬深300正2,15.01,0.2,1.35,,,144.1,216,7.6,7.6,,,有,,,,N/A,劉宗聖,謝忠賢
289,3596,智易,98,0.1,0.1,10,22,22.04,216,19.6,13.8,,,,有,,,通信網路業,陳瑞聰,曾釗鵬
290,4961,天鈺,114,-1,-0.87,10,18.7,18.65,213,27.5,4.18,,,有,,,,半導體業,林永杰,邱淑慧
291,3680,家登,250.5,3.5,1.42,10,8.41,8.42,211,24.8,11.3,,,有,,,,半導體業,邱銘乾,林添瑞
292,8070,長華*,30.45,0.25,0.83,1,6.89,68.94,210,33.6,19.1,,,,,,,電子通路業,黃嘉能,黃俊勳
293,6414,樺漢,197,-1.5,-0.76,10,10.6,10.6,209,23.4,8.74,有,,有,,有,,電腦及週邊設備業,朱復銓,蔡能吉
294,00885,富邦越南,11.19,0.1,0.9,,,186.3,208,1.7,1.68,,,有,,,,N/A,史綱,李明州
295,5534,長虹,71.5,-0.3,-0.42,10,29,29.03,208,47,20.7,有,,,有,,,建材營造業,李文造,李耀中
296,8016,矽創,172.5,0,0,10,12,12.01,207,30.5,19,,,,,,,半導體業,毛穎文,王崴
297,4105,東洋,82.5,0.8,0.98,10,24.9,24.86,205,62.4,21.2,,,,,,,生技醫療業,林全,侯靜蘭
298,5371,中光電,52.4,-0.2,-0.38,10,39.1,39.1,205,30.5,23.9,有,,有,,,,光電業,張威儀,林惠姿 陳士元 吳秀蕙
299,2312,金寶,13.7,0.05,0.37,10,149,149.3,205,49.7,33.1,,,有,,,,其他電子業,許勝雄,陳威昌
300,1789,神隆,25.7,0.05,0.19,10,79.1,79.07,203,25.1,11.2,,,,,,,生技醫療業,羅智先,盧麗安
