排名,代號,名稱,成交,漲跌價,漲跌幅,面值(元),股本(億),發行量(萬張),市值(億),成立年數,掛牌年數,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
118,00632R,元大台灣50反1,5.93,-0.01,-0.17,,,"1,025",608,8.2,8.14,,,有,,,,N/A,劉宗聖,謝忠賢
119,8299,群聯,305,-2.5,-0.81,10,19.7,19.86,606,22.1,18,有,,有,,,,半導體業,顏暐駩,歐陽志光
120,6239,力成,79.7,0,0,10,75.9,75.91,605,25.6,19.7,有,,,,,,半導體業,蔡篤恭,呂肇祥
121,00746B,富邦A級公司債,36.21,-0.63,-1.71,,,166.2,602,4.4,4.35,,,,,,,N/A,史綱,李明州
122,1795,美時,228.5,3,1.33,10,26.3,26.26,600,56.5,12.9,,,,,有,,生技醫療業,Robert Wessman,Petar Vazharov
123,2201,裕隆,60,-1.4,-2.28,10,100,100,600,69.3,46.5,有,,有,有,,,汽車工業,嚴陳莉蓮,姚振祥
124,3293,鈊象,424,19.5,4.82,10,14.1,14.09,597,33.1,16.4,有,,有,,,,文化創意業,李柯柱,江順成
125,6781,AES-KY,683,-4,-0.58,10,8.54,8.54,583,3,1.75,,,有,,,,電子零組件業,宋福祥,宋維哲
126,1504,東元,27.2,-0.1,-0.37,10,214,213.9,582,66.5,49.1,有,,,有,,,電機機械,邱純枝,范炘
127,1477,聚陽,240,9,3.9,10,24.2,24.19,580,32.9,19.9,有,,有,,,,紡織纖維,周理平,周理平
128,2227,裕日車,192.5,-1,-0.52,10,30,30,578,19.2,18,,,,,,,汽車工業,嚴陳莉蓮,蔡文榮
129,3105,穩懋,136,-1,-0.73,10,42.4,42.39,577,23.2,11,有,,有,,,,半導體業,陳進財,陳國樺
130,3661,世芯-KY,809,-14,-1.7,10,7.18,7.12,576,19.8,8.15,,,有,,,,半導體業,關建英,沈翔霖
131,2838,聯邦銀,16,0.1,0.63,10,379,359.4,575,31,24.5,,,,,,有,銀行業,林鴻聯,許維文
132,00751B,元大AAA至A公司債,34.71,-0.32,-0.91,,,165.6,575,4.3,4.22,,,,,,,N/A,劉宗聖,謝忠賢
133,2383,台光電,172.5,-0.5,-0.29,10,33.3,33.29,574,30.7,26,有,,有,有,,,電子零組件業,董定宇,關恩祥
134,00725B,國泰投資級公司債,35.85,-0.18,-0.5,,,158.3,568,4.9,4.87,,,,,,,N/A,張錫,張雍川
135,3532,台勝科,144.5,1,0.7,10,38.8,38.78,560,27.1,15,有,,有,,,,半導體業,林健男,田中恵一
136,2313,華通,46.65,0.05,0.11,10,119,119.2,556,49.3,32.4,有,,有,,,,電子零組件業,江培琨,江培琨
137,3036,文曄,61.7,0,0,10,102,88.35,545,29,22.2,有,,,,,有,電子通路業,鄭文宗,鄭文宗
138,1722,台肥,53.2,0,0,10,98,98,521,76.6,24.7,有,,,,,,化學工業,黃耀興,黃耀興
139,2352,佳世達,26.45,0.05,0.19,10,197,196.7,520,38.7,26.4,有,,有,,,,電腦及週邊設備業,陳其宏,黃漢州
140,6121,新普,280,2,0.72,10,18.5,18.5,518,30.7,21.1,有,,,,,,電腦及週邊設備業,宋福祥,宋福祥
141,6592,和潤企業,100.5,0.6,0.6,10,56.5,51.5,518,23.6,3.04,,,,有,,有,其他業,劉源森,林彥良
142,3653,健策,376.5,-3.5,-0.92,10,13.5,13.45,506,35.7,13.1,有,,有,,,,電子零組件業,趙宗信,林錦隆
143,9914,美利達,169,4.5,2.74,10,29.9,29.9,505,50.2,30.2,有,,,,,,其他業,曾崧柱,曾崧柱
144,4919,新唐,120,1.5,1.27,10,42,41.98,504,14.7,12.2,,,有,,,,半導體業,蘇源茂,楊欣龍
145,6176,瑞儀,106.5,-0.5,-0.47,10,46.5,46.5,495,27.4,20.6,有,,,,,,光電業,王本然,王本然(總執行長)
146,5269,祥碩,704,21,3.07,10,6.94,6.94,488,18.7,10,有,,有,,,,半導體業,沈振來,林哲偉
147,2637,慧洋-KY,64.8,2,3.18,10,74.6,74.64,484,14.2,12.1,,,有,有,,,航運業,藍俊昇,鄭俊聲
148,3044,健鼎,91.8,-1.7,-1.82,10,52.6,52.56,483,31,22,有,,,,,,電子零組件業,王景春,黃樂仁
149,3189,景碩,106.5,-3,-2.74,10,45.3,45.28,482,22.3,18.1,有,,有,,,,半導體業,廖賜政,陳河旭
150,2882A,國泰特,56.8,-0.1,-0.18,,,83.33,473,,5.93,,,,,,,金控業,,
151,00881,國泰台灣5G+,13.69,0.01,0.07,,,340.3,466,2.1,2.03,,,,,,,N/A,張錫,張雍川
152,2498,宏達電,55.8,1.4,2.57,10,82.8,82.5,460,25.6,20.7,有,有,有,,,,通信網路業,王雪紅,王雪紅
153,00679B,元大美債20年,31.89,-0.05,-0.16,,,143.8,458,5.9,5.93,,,,,,,N/A,劉宗聖,謝忠賢
154,5904,寶雅,447.5,-4.5,-1,10,10.2,10.22,457,25.8,20.3,,,有,,,,貿易百貨業,陳建造,陳宗成
155,5522,遠雄,57.7,-0.1,-0.17,10,78.2,78.16,451,44.4,23,,,,有,,,建材營造業,趙文嘉,湯佳峰
156,2845,遠東銀,11.05,-0.05,-0.45,10,407,407,450,30.9,24.1,,,,,,,銀行業,侯金英,周添財
157,2449,京元電子,36.5,-0.15,-0.41,10,122,122.3,446,35.6,21.6,有,,有,,,,半導體業,李金恭,劉安炫
158,2368,金像電,90.2,-1.6,-1.74,10,49.2,49.18,444,41.3,24.8,,,有,,,,電子零組件業,楊承澤,楊承澤
159,5903,全家,198,-3,-1.49,10,22.3,22.32,442,34.3,20.8,,,,,,,貿易百貨業,葉榮廷,薛東都
160,1434,福懋,26.2,-0.15,-0.57,10,168,168.5,441,49.7,37,,,,,,,紡織纖維,王文淵,李敏章
161,9917,中保科,97.4,0.8,0.83,10,45.1,45.12,439,45.1,29,,,,,,,其他業,林孝信,小野寺博史
162,6147,頎邦,57.7,-0.3,-0.52,10,73.9,73.87,426,25.5,20.9,有,,有,,,,半導體業,吳非艱,高火文
163,2606,裕民,49.45,1.25,2.59,10,84.5,84.51,418,54.3,32,有,,有,有,,,航運業,徐旭東,王書吉
164,3406,玉晶光,366,-1,-0.27,10,11.3,11.27,412,32.9,17,有,,有,,,,光電業,陳天慶,郭英理
165,006208,富邦台50,62.65,0.15,0.24,,,64.75,406,10.5,10.4,,,,,,,N/A,史綱,李明州
166,00723B,群益15年IG科技債,33.37,-0.19,-0.57,,,120.7,403,5,5.02,,,,,,,N/A,賴政昇,陳明輝
167,1907,永豐餘,24.15,-0.2,-0.82,10,166,166,401,72.8,45.8,有,,,,,,造紙工業,劉慧瑾,駱秉正
168,8415,大國鋼,38.45,1.05,2.81,10,103,103.2,397,15.4,6.29,,,,,,,鋼鐵工業,謝麗雲,謝榮坤
169,1210,大成,44.1,-0.3,-0.68,10,89.5,89.48,395,62,44.6,有,,,,,,食品工業,韓家宇,韓芳豪
170,3035,智原,157.5,1.5,0.96,10,24.9,24.86,391,29.5,23.2,有,,有,,,,半導體業,洪嘉聰,王國雍
171,2014,中鴻,27.1,2.4,9.72,10,144,143.6,389,39.2,30.8,有,,有,,,,鋼鐵工業,曾貴松,朱敏
172,2889,國票金,11.25,0,0,10,315,344.7,388,20.7,20.7,,,,,,,金控業,魏啟林,蘇松輝
173,3017,奇鋐,109,-2.5,-2.24,10,35.3,35.33,385,31,20.2,有,,有,有,,,電腦及週邊設備業,沈慶行,沈慶行
174,3665,貿聯-KY,250,3,1.21,10,15.6,15.28,382,22.6,11.7,,,有,有,,,其他電子業,梁華哲,鄧劍華
175,2882B,國泰金乙特,54.5,0,0,,,70,382,,4.37,,,,,,,金控業,,
176,2881B,富邦金乙特,57,0,0,,,66.67,380,,4.66,,,,,,,金控業,,
177,2809,京城銀,34.15,0.05,0.15,10,111,111.1,379,71.4,39.4,,,,,,,銀行業,戴誠志,姜宏亮
178,2923,鼎固-KY,21.8,0.15,0.69,10,174,174,379,15,10,,,,,,,建材營造業,張洪本,張能耀
179,00726B,國泰5Y+新興債,33.53,-0.17,-0.5,,,112.6,377,4.9,4.87,,,,,,,N/A,張錫,張雍川
